pakus.code,sample,Species,Genus,Family,Order,Class,Phylum,country,room,room.code,month,collection.date,source,isolate.num
NA,PK-Pub1-MO1-B4,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,1,20180227,B,4
NA,PK-Pub1-MO1-D3,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,1,20180227,D,3
NA,PK-Pub1-MO1-F1,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,1,20180227,F,1
NA,PK-Pub1-MO2-D1,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,2,20180402,D,1
NA,PK-Pub2-MO1-B3,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,1,20180227,B,3
NA,PK-Pub2-MO1-D1,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub2,PAK-WORK-2,1,20180227,D,1
NA,PK3-MO1-ICU-B5,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,B,5
NA,PK3-MO2-ICU-D8,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,D,8
NA,PK4-MO2-ICU-F2,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,2,20180402,F,2
NA,PK4-MO3-ICU-B5,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,3,20180501,B,5
NA,PK-Pub1-MO1-FC1,Acinetobacter junii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,1,20180227,FC,1
NA,PK2-MO1-ICU-2min1,Acinetobacter junii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,2min,1
NA,US-HM1-MO3-D1,Agrobacterium pusense,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,3,20180514,D,1
NA,US-HM2-MO1-D5,Agrobacterium pusense,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,1,20180220,D,5
NA,US-HM2-MO2-D2,Agrobacterium pusense,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,2,20180409,D,2
NA,US-HM1-MO1-D1,Agrobacterium sp. HM1-D1,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,1,20180220,D,1
NA,US-HM1-MO1-F1,Agrobacterium sp. HM1-D1,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,1,20180220,F,1
NA,US-HM1-MO1-F2,Agrobacterium sp. HM1-D1,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,1,20180220,F,2
NA,US-HM2-MO3-F1,Agrobacterium sp. HM1-D1,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM2,US-HOME-2,3,20180514,F,1
NA,PK1-MO2-ICU-FC1,Acinetobacter junii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,FC,1
NA,PK1-MO3-ICU-FC1,Acinetobacter junii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,FC,1
NA,PK3-MO2-ICU-B2,Acinetobacter junii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,B,2
NA,PK-Prv2-MO2-F1,Acinetobacter junii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,2,20180402,F,1
NA,US-ICU18-MO1-D3,Pseudomonas sp. ICU-D3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,ICU18,US-ICU-2,1,20180220,D,3
NA,US-IOH-MO5-B3,Pseudomonas sp. PUB2-B3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,5,20180709,B,3
NA,PK-Pub1-MO2-B1,Acinetobacter pittii ,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,2,20180402,B,1
NA,PK1-MO1-ICU-B4,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,B,4
NA,US-ICU21-MO1-D1,Stenotrophomonas sp. ICU21-D1,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU21,US-ICU-4,1,20180220,D,1
NA,PK1-MO1-ICU-F3,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,F,3
NA,PK1-MO2-ICU-B5,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,B,5
NA,PK1-MO2-ICU-D3,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,D,3
NA,PK1-MO4-ICU-B5,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,4,20180718,B,5
NA,US-IOH-MO4-B3,Stenotrophomonas sp. PRV1-D4,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,4,20180604,B,3
NA,US-IOH-MO5-D4,Stenotrophomonas sp. PRV1-D4,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,5,20180709,D,4
NA,PK-Prv1-MO4-B2,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,Prv1,PAK-HOME-1,4,20180718,B,2
NA,US-MK-MO1-D4,Stenotrophomonas sp. PRV2-D2,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,1,20180220,D,4
NA,PK-Prv2-MO3-D2,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,Prv2,PAK-HOME-2,3,20180501,D,2
NA,US-ICU21-MO2-D2,Stenotrophomonas sp. ICU-D2,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU21,US-ICU-4,2,20180409,D,2
NA,US-ICU21-MO3-D2,Stenotrophomonas sp. ICU-D2,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU21,US-ICU-4,3,20180514,D,2
NA,US-ICU21-MO4-D2,Stenotrophomonas sp. ICU-D2,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU21,US-ICU-4,4,20180604,D,2
NA,US-ICU21-MO5-D1,Stenotrophomonas sp. ICU-D2,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,ICU21,US-ICU-4,5,20180709,D,1
NA,US-MK-MO3-B3,Stenotrophomonas sp. ICU-D2,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,3,20180514,B,3
NA,PK-Pub1-MO4-B2,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,4,20180718,B,2
NA,US-HM1-MO2-D2,Agrobacterium sp. HM1-D1,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,2,20180409,D,2
NA,PK1-MO4-ICU-D4,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,4,20180718,D,4
NA,US-IOH-MO3-B3,Pseudomonas oleovorans,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,3,20180514,B,3
NA,PK2-MO1-ICU-B2,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,B,2
NA,PK2-MO2-ICU-B2,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,2,20180402,B,2
NA,PK3-MO2-ICU-D3,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,D,3
NA,US-HM1-MO2-FC1,Agrobacterium sp. HM1-D1,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,2,20180409,FC,1
NA,PK3-MO3-ICU-D5,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,3,20180501,D,5
NA,PK3-MO4-ICU-B1,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,4,20180718,B,1
NA,US-MK-MO1-B6,Achromobacter marplatensis,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,MK,US-WORK-2,1,20180220,B,6
NA,PK3-MO4-ICU-F1,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,4,20180718,F,1
NA,PK2-MO1-ICU-D1,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,D,1
NA,US-MK-MO3-B5,Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,MK,US-WORK-2,3,20180514,B,5
NA,US-MK-MO3-D2,Achromobacter xylosoxidans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,MK,US-WORK-2,3,20180514,D,2
NA,PK2-MO1-ICU-F1,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,F,1
NA,PK2-MO1-ICU-F3,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,1,20180227,F,3
NA,PK2-MO4-ICU-F1,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU2,PAK-ICU-2,4,20180718,F,1
NA,PK3-MO1-ICU-D6,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,1,20180227,D,6
NA,PK3-MO2-ICU-B1,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,B,1
NA,US-MK-MO2-D1,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,2,20180409,D,1
NA,US-MK-MO5-B2,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,5,20180709,B,2
NA,US-MK-MO5-D4,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,5,20180709,D,4
NA,US-MK-MO3-B2,Acinetobacter courvalinii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,3,20180514,B,2
NA,PK4-MO4-ICU-F1,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,4,20180718,F,1
NA,PK-Prv1-MO4-B3,Aeromonas dhakensis,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,Prv1,PAK-HOME-1,4,20180718,B,3
NA,PK-Prv1-MO4-F1,Aeromonas dhakensis,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,PAK,Prv1,PAK-HOME-1,4,20180718,F,1
NA,PK-Prv1-MO3-B1,Agrobacterium pusense,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,PAK,Prv1,PAK-HOME-1,3,20180501,B,1
NA,PK-Pub1-MO4-D1,Agrobacterium pusense,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,4,20180718,D,1
NA,PK1-MO1-ICU-D2,Arcobacter butzleri,Arcobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,D,2
NA,PK1-MO3-ICU-Air6,Arcobacter butzleri,Arcobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,Air,6
NA,PK-Pub1-MO3-Air1,Brucella anthropi,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,3,20180501,Air,1
NA,PK4-MO4-ICU-F3,Brucella anthropi,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,PAK,ICU4,PAK-ICU-4,4,20180718,F,3
NA,PK-Pub1-MO4-B5,Brucella intermedia,Brucella,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,PAK,Pub1,PAK-WORK-1,4,20180718,B,5
NA,PK-Prv1-MO4-Air2,Chromobacterium haemolyticum,Chromobacterium,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,PAK,Prv1,PAK-HOME-1,4,20180718,Air,2
NA,PK-Prv1-MO4-D1,Chromobacterium haemolyticum,Chromobacterium,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,PAK,Prv1,PAK-HOME-1,4,20180718,D,1
NA,PK1-MO3-ICU-Air2,Citrobacter amalonaticus,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,Air,2
NA,PK3-MO2-ICU-B3,Citrobacter braakii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,B,3
NA,PK3-MO2-ICU-F4,Citrobacter braakii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU3,PAK-ICU-3,2,20180402,F,4
NA,PK1-MO1-ICU-D4,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,1,20180227,D,4
NA,PK1-MO2-ICU-D2,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,2,20180402,D,2
NA,US-HM1-MO4-B1,Comamonas terrigena,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,US,HM1,US-HOME-1,4,20180604,B,1
NA,US-ICU18-MO1-D1,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,ICU18,US-ICU-2,1,20180220,D,1
NA,US-ICU18-MO1-D4,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,ICU18,US-ICU-2,1,20180220,D,4
NA,US-IOH-MO2-B2,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,2,20180409,B,2
NA,US-IOH-MO2-D1,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,2,20180409,D,1
NA,US-IOH-MO2-D4,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,2,20180409,D,4
NA,US-IOH-MO5-B5,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,5,20180709,B,5
NA,US-IOH-MO5-D5,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,IOH,US-WORK-1,5,20180709,D,5
NA,US-MK-MO1-B5,Acinetobacter johnsonii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,US,MK,US-WORK-2,1,20180220,B,5
NA,PK1-MO3-ICU-B4,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,PAK,ICU1,PAK-ICU-1,3,20180501,B,4
